"College Name","Phase-1 AIR","Phase-1 Marks","Phase-2 AIR","Phase-2 Marks",,,,,,,,,,,,,,,,,,,,,
"NRI Medical College, Chinnakakani",63189,491,88812,472,,,,,,,,,,,,,,,,,,,,,
"Narayana Medical College, Nellore",91287,470,104493,461,,,,,,,,,,,,,,,,,,,,,
"Apollo Institute of Medical Sciences and Research, Chittoor",94263,468,108552,458,,,,,,,,,,,,,,,,,,,,,
"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",110007,458,113062,456,,,,,,,,,,,,,,,,,,,,,
"P.E.S. Institute of Medical Sciences and Research, Kuppam",110348,458,113421,456,,,,,,,,,,,,,,,,,,,,,
"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",106369,460,118858,452,,,,,,,,,,,,,,,,,,,,,
"GSL Medical College, Rajamahendravaram",107784,459,118978,452,,,,,,,,,,,,,,,,,,,,,
"Maharaja Institute of Medical Sciences, Vizianagaram",114629,455,124208,448,,,,,,,,,,,,,,,,,,,,,
"NRI Institute of Medical Sciences, Visakhapatnam",104981,461,129903,443,,,,,,,,,,,,,,,,,,,,,
"Katuri Medical College and Hospital, Guntur",113261,455,135509,440,,,,,,,,,,,,,,,,,,,,,
"Santhiram Medical College, Nandyal",114341,455,139350,438,,,,,,,,,,,,,,,,,,,,,
"Great Eastern Medical School and Hospital, Srikakulam",114246,455,142583,437,,,,,,,,,,,,,,,,,,,,,
"Konaseema Institute of Medical Sciences and Research Foundation, Amalapuram",123153,449,143044,437,,,,,,,,,,,,,,,,,,,,,
"Sri Balaji Medical College Hospital and Research Institute, Renigunta, Tirupati",119069,452,146426,435,,,,,,,,,,,,,,,,,,,,,
"Gayatri Vidya Parishad Inst. of Health Care and Medical Technology, Visakhapatnam",–,–,148982,434,,,,,,,,,,,,,,,,,,,,,
"Viswabharathi Medical College, Kurnool",126685,447,149702,434,,,,,,,,,,,,,,,,,,,,,
"Anna Gowri Medical College and Hospital, Paramaswaramangalam",–,–,150095,433,,,,,,,,,,,,,,,,,,,,,
"Non-minority Total",126685,447,150095,433,,,,,,,,,,,,,,,,,,,,,
"Nimra Institute of Medical Sciences, Vijayawada (Minority)",217163,396,278061,367,,,,,,,,,,,,,,,,,,,,,
"Fathima Institute of Medical Sciences, Kadapa (Minority)",281177,366,337531,341,,,,,,,,,,,,,,,,,,,,,
"Minority Total",281177,366,337531,341,,,,,,,,,,,,,,,,,,,,,
