"College Name","rank 2024 R3","score 2024 R3","rank 2024 Stray","score 2024 Stray","rank 2025 R2","score 2025 R2","rank 2025 R3","score 2025 R3","Clear r3","Clear r3 NRI","Virtual r3","Virtual r3 NRI","rank 2024 R2","score 2024 R2",State,"Yearly Fee 2025 (₹)",R1,"New R2","Clear R2","Virtual R2","Total R2",state,"rank 2024 R1","score 2024 R1","rank 2025 R1","score 2025 R1",Estd,Seats,Years,,,,,,,,,,
"J R Medical College and Hospital, Tamil Nadu",159702,533,,,821077,195,903723,178,50,,46,,370428,402,"Tamil Nadu","2,600,000",150,-,96,38,134,"Tamil Nadu","588,114",309,"734,672",215,2024,150,4.5,,,,,,,,,,
"Sri Lakshmi Narayana Inst., Puducherry",633109,293,560021,319,805731,199,874326,184,48,,65,,1036198,186,Pondicherry,"2,600,000",250,-,124,69,193,Pondicherry,1253815,147,733697,215,2006,250,4.5,,,,,,,,,,
"Sree Balaji Medical College, Chennai",608137,302,543798,325,773612,206,854232,188,25,5,88,,921306,211,"Tamil Nadu","3,050,000",245,-,86,82,168,"Tamil Nadu","1,103,028",173,"707,998",222,2003,150,4.5,,,,,,,,,,
"Bhaarath Medical College and Hospital, Chennai",559313,319,463509,358,775178,206,870904,185,36,,38,,934381,208,"Tamil Nadu","2,750,000",127,50,121,24,145,"Tamil Nadu",1062838,180,657379,235,2020,150,4.5,,,,,,,,,,
"Shri Sathya Sai Medical College, Chennai",536687,328,412262,381,724488,218,811496,198,50,,92,,962788,201,"Tamil Nadu","2,350,000",250,-,121,83,204,"Tamil Nadu","1,333,216",135,"640,116",239,2008,250,5,,,,,,,,,,
"Chettinad Hos. and Res. Inst., Kancheepuram",354338,410,416394,380,703700,223,771875,206,16,0,53,,629495,294,"Tamil Nadu","2,700,000",250,-,72,66,138,"Tamil Nadu",825848,235,600008,250,2006,250,5,,,,,,,,,,
"Aarupadai Veedu, Pondicherry",385224,395,330174,423,684493,228,755831,210,,,,,736651,260,Pondicherry,2400000,127,-,78,30,108,Pondicherry,1035938,186,593506,252,1990,150,5,,,,,,,,,,
"ACS Medical College, Chennai",311089,433,270532,457,612027,247,736125,215,16,35,58,,626511,295,"Tamil Nadu","2,500,000",212,-,58,64,122,"Tamil Nadu",1017390,190,587084,254,2008,250,4.5,,,,,,,,,,
"Meenakshi Medical College Hospital , Chennai",265381,460,179583,518,593831,252,657379,235,20,,65,,543674,325,"Tamil Nadu","2,300,000",250,-,77,67,112,"Tamil Nadu",899112,216,558109,263,2003,250,5,,,,,,,,,,
"VMKV Medical College and Hospital, Salem",424450,376,306825,436,636297,240,656654,235,13,,21,,699163,271,"Tamil Nadu",2400000,150,-,57,26,83,"Tamil Nadu","1,001,140",193,"549,662",265,1996,150,5,,,,,,,,,,
"SRM Medical College and Hospital, Chennai",378109,398,195886,506,611782,247,706319,222,27,3,84,,574531,314,"Tamil Nadu","2,800,000",247,-,94,76,170,"Tamil Nadu","637,582",292,"496,509",282,2005,250,5,,,,,,,,,,
"Vinayaka Missions Medical College, Karaikal",331723,422,271525,457,633931,241,693547,225,25,,40,,654993,286,Pondicherry,2200000,150,-,72,34,106,Pondicherry,902941,215,491918,283,1997,150,5,,,,,,,,,,
"Saveetha Medical College, Chennai",165365,529,,,525685,273,510694,277,10,,32,,365718,404,"Tamil Nadu","2,700,000",250,-,53,42,95,"Tamil Nadu","570,175",315,"432,358",304,2008,250,5,,,,,,,,,,
"VELS Medical College & Hospital, Villupuram, Chinnai",295485,442,298408,441,517146,275,610538,248,24,21,10,,626815,295,"Tamil Nadu","2,100,000",127,50,98,6,104,"Tamil Nadu","1,175,074",160,"424,512",307,2021,150,5,,,,,,,,,,
"Sri Lalithambigai Medical College & Hospital",115483,567,112218,570,324838,346,252065,379,11,14,13,,278640,452,"Tamil Nadu","2,100,000",128,42,64,8,72,"Tamil Nadu","617,590",298,"295,429",359,2021,150,4.5,,,,,,,,,,
"Sri Ramachandra Med. College , Chennai",236028,479,237048,479,310748,352,333238,343,10,2,36,5,323997,426,"Tamil Nadu","3,000,000",212,-,48,31,79,"Tamil Nadu","313,535",432,"263,126",374,1985,250,5,,,,,,,,,,
"Mahatma Gandhi, Pondicherry",534011,329,425714,375,724279,218,814210,197,35,24,75,,778569,248,Pondicherry,"2,650,000",225,-,95,77,172,Pondicherry,"893,922",218,"581,782",256,2002,250,5,,,,,,,,,,
