score,count
720,1231
719,1435
718,1438
717,1343
716,1333
715,1039
714,1256
713,1352
712,1226
711,996
710,1237
709,1047
708,1287
707,956
706,986
705,1150
704,1257
703,1035
702,1251
701,999
700,1161
699,1134
698,977
697,1277
696,1271
695,1224
694,1261
693,1164
692,885
691,1138
690,1139
689,899
688,960
687,1046
686,1204
685,1029
684,1142
683,1229
682,1105
681,954
680,1023
679,918
678,1054
677,916
676,990
675,1023
674,1169
673,1056
672,1009
671,1007
670,967
669,913
668,1144
667,931
666,996
665,1124
664,865
663,1004
662,882
661,1091
660,745
659,1051
658,933
657,944
656,951
655,874
654,1040
653,822
652,883
651,972
650,856
649,1030
648,826
647,939
646,876
645,805
644,896
643,835
642,720
641,705
640,816
639,915
638,796
637,895
636,860
635,851
634,683
633,866
632,660
631,785
630,715
629,889
628,682
627,629
626,720
625,912
624,723
623,895
622,646
621,883
620,833
619,776
618,830
617,692
616,792
615,821
614,832
613,820
612,608
611,793
610,864
609,770
608,598
607,650
606,630
605,692
604,714
603,604
602,596
601,695
600,791
599,754
598,633
597,718
596,724
595,612
594,776
593,731
592,613
591,671
590,530
589,646
588,677
587,702
586,512
585,518
584,698
583,703
582,709
581,510
580,655
579,548
578,594
577,690
576,662
575,662
574,622
573,699
572,509
571,596
570,708
569,675
568,517
567,559
566,620
565,496
564,484
563,465
562,517
561,509
560,643
559,646
558,498
557,646
556,634
555,650
554,628
553,445
552,597
551,562
550,624
549,533
548,521
547,505
546,519
545,606
544,603
543,559
542,425
541,518
540,514
539,532
538,583
537,473
536,416
535,592
534,431
533,420
532,570
531,486
530,485
529,513
528,499
527,514
526,512
525,382
524,516
523,554
522,401
521,442
520,413
519,503
518,428
517,424
516,401
515,453
514,487
513,375
512,479
511,501
510,473
509,491
508,433
507,453
506,428
505,453
504,394
503,495
502,400
501,374
500,417
499,412
498,331
497,418
496,366
495,351
494,418
493,450
492,338
491,379
490,338
489,361
488,420
487,453
486,374
485,448
484,460
483,336
482,354
481,403
480,316
479,419
478,316
477,340
476,404
475,345
474,366
473,370
472,345
471,312
470,336
469,331
468,287
467,391
466,291
465,364
464,395
463,357
462,310
461,308
460,348
459,401
458,311
457,386
456,327
455,335
454,379
453,310
452,355
451,337
450,371
449,350
448,323
447,263
446,275
445,282
444,344
443,347
442,258
441,318
440,278
439,367
438,317
437,320
436,320
435,310
434,278
433,254
432,347
431,259
430,261
429,241
428,293
427,232
426,323
425,330
424,306
423,312
422,325
421,286
420,262
419,328
418,315
417,313
416,277
415,282
414,224
413,226
412,287
411,293
410,273
409,294
408,300
407,232
406,277
405,218
404,261
403,211
402,223
401,268
400,287
399,245
398,271
397,278
396,265
395,245
394,196
393,284
392,233
391,281
390,236
389,271
388,211
387,222
386,217
385,280
384,192
383,273
382,263
381,223
380,230
379,202
378,185
377,191
376,243
375,196
374,239
373,199
372,196
371,191
370,247
369,239
368,202
367,231
366,193
365,178
364,201
363,220
362,193
361,188
360,174
359,183
358,232
357,221
356,206
355,195
354,179
353,190
352,232
351,226
350,195
349,182
348,168
347,218
346,217
345,199
344,173
343,190
342,199
341,165
340,155
339,197
338,159
337,174
336,163
335,152
334,204
333,144
332,189
331,156
330,168
329,172
328,210
327,157
326,156
325,169
324,172
323,185
322,147
321,199
320,158
319,195
318,138
317,195
316,158
315,167
314,152
313,187
312,175
311,153
310,130
309,189
308,128
307,134
306,172
305,181
304,154
303,183
302,132
301,128
300,146
299,163
298,138
297,125
296,133
295,152
294,132
293,150
292,144
291,168
290,135
289,137
288,139
287,133
286,144
285,118
284,126
283,162
282,136
281,149
280,140
279,121
278,115
277,134
276,138
275,133
274,115
273,110
272,116
271,125
270,119
269,146
268,128
267,130
266,139
265,103
264,143
263,115
262,147
261,116
260,125
259,144
258,99
257,137
256,112
255,104
254,104
253,144
252,109
251,135
250,138
249,131
248,124
247,117
246,139
245,118
244,136
243,134
242,121
241,105
240,133
239,106
238,90
237,107
236,113
235,111
234,99
233,107
232,104
231,102
230,128
229,127
228,110
227,99
226,118
225,119
224,105
223,96
222,88
221,87
220,118
219,101
218,88
217,94
216,81
215,95
214,98
213,100
212,108
211,100
210,83
209,85
208,106
207,92
206,113
205,94
204,90
203,81
202,93
201,91
200,91
199,102
198,84
197,94
196,90
195,84
194,103
193,81
192,73
191,104
190,88
189,87
188,94
187,91
186,76
185,72
184,87
183,74
182,68
181,86
180,85
179,82
178,69
177,97
176,74
175,85
174,72
173,72
172,90
171,73
170,74
169,91
168,73
167,84
166,81
165,71
164,86
163,84
162,86
161,74
160,63
159,75
158,81
157,66
156,85
155,61
154,82
153,77
152,79
151,73
150,64
149,61
148,65
147,70
146,83
145,84
144,57
143,76
142,75
141,58
140,64
139,62
138,63
137,75
136,61
135,58
134,79
133,61
132,73
131,74
130,53
129,76
128,56
127,65
126,67
125,57
124,57
123,67
122,56
121,62
120,52
119,68
118,51
117,57
116,56
115,62
114,61
113,67
112,61
111,70
110,57
109,69
108,62
107,58
106,55
105,64
104,58
103,52
102,48
101,51
100,66
99,53
98,67
97,49
96,52
95,54
94,56
93,50
92,48
91,54
90,59
89,46
88,61
87,61
86,51
85,63
84,61
83,59
82,45
81,49
80,44
79,59
78,45
77,48
76,50
75,55
74,59
73,54
72,46
71,49
70,41
69,45
68,42
67,55
66,55
65,56
64,52
63,37
62,39
61,44
60,51
59,48
58,37
57,48
56,40
55,51
54,39
53,52
52,50
51,47
50,44
49,37
48,42
47,49
46,49
45,47
44,42
43,42
42,37
41,49
40,37
39,43
38,34
37,46
36,38
35,35
34,40
33,47
32,40
31,48
30,46
29,35
28,32
27,33
26,36
25,44
24,32
23,45
22,35
21,35
20,37
19,35
18,30
17,32
16,30
15,35
14,39
13,39
12,30
11,33
10,34
9,30
8,32
7,39
6,32
5,33
4,31
3,35
2,28
1,32
0,34
