"Marks 2024","Rank 2024",,,,,,,,,,,,,,,,,,,,,,,,
720,1,,,,,,,,,,,,,,,,,,,,,,,,
715,177,,,,,,,,,,,,,,,,,,,,,,,,
705,542,,,,,,,,,,,,,,,,,,,,,,,,
700,2250,,,,,,,,,,,,,,,,,,,,,,,,
690,4406,,,,,,,,,,,,,,,,,,,,,,,,
685,6232,,,,,,,,,,,,,,,,,,,,,,,,
675,11600,,,,,,,,,,,,,,,,,,,,,,,,
671,13923,,,,,,,,,,,,,,,,,,,,,,,,
665,17800,,,,,,,,,,,,,,,,,,,,,,,,
656,25500,,,,,,,,,,,,,,,,,,,,,,,,
650,29000,,,,,,,,,,,,,,,,,,,,,,,,
645,33848,,,,,,,,,,,,,,,,,,,,,,,,
638,40116,,,,,,,,,,,,,,,,,,,,,,,,
630,47810,,,,,,,,,,,,,,,,,,,,,,,,
627,51119,,,,,,,,,,,,,,,,,,,,,,,,
615,65000,,,,,,,,,,,,,,,,,,,,,,,,
606,70000,,,,,,,,,,,,,,,,,,,,,,,,
605,76000,,,,,,,,,,,,,,,,,,,,,,,,
603,77000,,,,,,,,,,,,,,,,,,,,,,,,
591,91527,,,,,,,,,,,,,,,,,,,,,,,,
550,144000,,,,,,,,,,,,,,,,,,,,,,,,
544,149119,,,,,,,,,,,,,,,,,,,,,,,,
511,193527,,,,,,,,,,,,,,,,,,,,,,,,
500,209000,,,,,,,,,,,,,,,,,,,,,,,,
451,285550,,,,,,,,,,,,,,,,,,,,,,,,
448,291306,,,,,,,,,,,,,,,,,,,,,,,,
414,351425,,,,,,,,,,,,,,,,,,,,,,,,
380,420000,,,,,,,,,,,,,,,,,,,,,,,,
331,565970,,,,,,,,,,,,,,,,,,,,,,,,
287,657138,,,,,,,,,,,,,,,,,,,,,,,,
251,774559,,,,,,,,,,,,,,,,,,,,,,,,
142,1200000,,,,,,,,,,,,,,,,,,,,,,,,
