Rank	Medical College	Last Rank Allotted	State	Allotted Quota
1	AIIMS – New Delhi	47	Delhi	Open Seat Quota
2	Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC	141	Delhi	All India
3	Maulana Azad Medical College New Delhi	145	Delhi	All India
4	Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital New Delhi	203	Delhi	All India
5	JIPMER Puducherry	350	Puducherry	Open Seat Quota
6	AIIMS, Jodhpur	374	Rajasthan	Open Seat Quota
7	University College of Medical Sciences, New Delhi	390	Delhi	All India
8	AIIMS-Bhopal	510	Madhya Pradesh	Open Seat Quota
9	AIIMS, Bhubaneswar	594	Odisha	Open Seat Quota
10	B.J. Medical College, Ahmedabad	676	Gujarat	All India
11	AIIMS, Rishikesh	731	Uttarakhand	Open Seat Quota
12	Government Medical College and Hospital, Chandigarh	778	Punjab	All India
13	Lady Hardinge Medical College, New Delhi	826	Delhi	All India
14	Govt. Medical College, Kozhikode	912	Kerala	All India
15	Madras Medical College, Chennai	944	Tamil Nadu	All India
16	AIIMS, Nagpur	946	Maharashtra	Open Seat Quota
17	SETH G.S. Medical College, Mumbai	1010	Maharashtra	All India
18	Institute of Medical Sciences, BHU, Varanasi	1014	Uttar Pradesh	Open Seat Quota
19	S.M.S. Medical College, Jaipur	1031	Rajasthan	All India
20	AIIMS, Raipur	1174	Chhattisgarh	Open Seat Quota
21	Dr. B.S.A. Medical College, Delhi	1192	Delhi	All India
22	AIIMS, Patna	1297	Bihar	Open Seat Quota
23	Bangalore Medical College and Research Institute	1345	Karnataka	All India
24	KGMC, Lucknow	1352	Uttar Pradesh	All India
25	NDMC Medical College, Delhi	1419	Delhi	All India
26	AIIMS Bathinda	1576	Punjab	Open Seat Quota
27	Govt. Medical College, Thiruvananthapuram	1606	Kerala	All India
28	AIIMS Mangalagiri	1836	Andhra Pradesh	Open Seat Quota
29	AIIMS Rajkot	1854	Gujarat	Open Seat Quota
30	AIIMS, Gorakhpur	2063	Uttar Pradesh	Open Seat Quota
31	AIIMS, Kalyani	2089	West Bengal	Open Seat Quota
32	Stanley Medical College, Chennai	2121	Tamil Nadu	All India
33	Medical College, Baroda	2251	Gujarat	All India
34	Govt. Medical College, Kottayam	2258	Kerala	All India
35	Grant Medical College & Sir J.J. Hospital, Mumbai	2338	Maharashtra	All India
36	B.J. Government Medical College, Pune	2379	Maharashtra	All India
37	AIIMS, Bibi Nagar, Hyderabad	2388	Telangana	Open Seat Quota
38	AIIMS, Bilaspur	2401	Himachal Pradesh	Open Seat Quota
39	RUHS College of Medical Sciences, Jaipur	2469	Rajasthan	All India
40	Medical College, Kolkata	2504	West Bengal	All India
41	AIIMS, Rai Bareli	2559	Uttar Pradesh	Open Seat Quota
42	Sardar Patel Medical College, Bikaner	2585	Rajasthan	All India
43	Gandhi Medical College, Musheerabad	2588	Telangana	All India
44	Govt. Medical College, Thrissur	2624	Kerala	All India
45	Indira Gandhi Medical College, Shimla	2625	Himachal Pradesh	All India
46	Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow	2683	Uttar Pradesh	All India
47	Institute of PG Medical Education & Research, Kolkata	2699	West Bengal	All India
48	Govt. Medical College, Srinagar	2777	Jammu and Kashmir	All India
49	Govt. Kilpauk Medical College, Chennai	2810	Tamil Nadu	All India
50	Lokmanya Tilak Municipal Medical College, Mumbai	2857	Maharashtra	All India
51	JIPMER Karaikal	2862	Puducherry	Open Seat Quota
52	Topiwala National Medical College, Mumbai	3022	Maharashtra	All India
53	Government Medical College, Surat	3080	Gujarat	All India
54	AIIMS, Deoghar	3106	Jharkhand	Open Seat Quota
55	Jawaharlal Nehru Medical College, AMU, Aligarh	3131	Uttar Pradesh	Open Seat Quota
56	S.C.B. Medical College, Cuttack	3208	Odisha	All India
57	Patna Medical College, Patna	3273	Bihar	All India
58	Govt. Medical College, Patiala	3318	Punjab	All India
59	Dr. S.N. Medical College, Jodhpur	3362	Rajasthan	All India
60	Vardhman Institute of Medical Sciences, Nalanda	3420	Bihar	All India
61	T.D. Medical College, Alappuzha	3454	Kerala	All India
62	AIIMS Guwahati	3476	Assam	Open Seat Quota
63	Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru	3492	Karnataka	All India
64	Osmania Medical College, Hyderabad	3517	Telangana	All India
65	Hinduhridayasamrat Balasaheb Thackeray Medical College, Mumbai	3532	Maharashtra	All India
66	Coimbatore Medical College, Coimbatore	3536	Tamil Nadu	All India
