"College Name","Phase-I AIR","Phase-I Marks","Phase-II AIR","Phase-II Marks",Drop,,,,,,,,,,,,,,,,,,,,
"NRI Medical College, Chinakakani","78,531",599,"86,359",592,7,,,,,,,,,,,,,,,,,,,,
"Narayana Medical College, Nellore","103,622",577,"112,288",570,7,,,,,,,,,,,,,,,,,,,,
"Alluri Seetharama Raju Academy of Medical Sciences, Eluru","104,706",569,"115,485",562,9,,,,,,,,,,,,,,,,,,,,
"GSL Medical College, Rajamahendravaram","123,340",561,"125,159",559,2,,,,,,,,,,,,,,,,,,,,
"Apollo Institute of Medical Sciences and Research, Chittoor","116,194",567,"128,510",561,6,,,,,,,,,,,,,,,,,,,,
"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram","111,505",571,"129,182",556,15,,,,,,,,,,,,,,,,,,,,
"P.E.S. Institute of Medical Sciences and Research, Kuppam","124,079",560,"139,438",548,12,,,,,,,,,,,,,,,,,,,,
"Katuri Medical College and Hospital, Guntur","126,212",559,"144,139",544,15,,,,,,,,,,,,,,,,,,,,
"NRI Institute of Medical Sciences, Visakhapatnam","128,152",558,"151,110",542,13,,,,,,,,,,,,,,,,,,,,
"Konaseema Institute of Medical Sciences and Research Foundation, Amalapuram","137,699",550,"151,146",540,10,,,,,,,,,,,,,,,,,,,,
"Great Eastern Medical School and Hospital, Srikakulam","134,172",553,"158,199",534,19,,,,,,,,,,,,,,,,,,,,
"Santhiram Medical College, Nandyal","144,690",544,"158,420",544,10,,,,,,,,,,,,,,,,,,,,
"Sri Balaji Medical College Hospital and Research Institute, Renigunta, Tirupati","142,643",546,"162,130",531,15,,,,,,,,,,,,,,,,,,,,
"Maharaja Institute of Medical Sciences, Vizianagaram","145,352",544,"162,183",531,13,,,,,,,,,,,,,,,,,,,,
"Gayatri Vidya Parishad Inst. of Health Care and Medical Technology, Visakhapatnam","139,438",548,"164,509",529,19,,,,,,,,,,,,,,,,,,,,
"Viswabharathi Medical College, Kurnool","145,149",544,"166,018",528,16,,,,,,,,,,,,,,,,,,,,
"Nimra Institute of Medical Sciences, Vijayawada","275,420",454,"322,540",427,14,,,,,,,,,,,,,,,,,,,,
"Fatihma Institute of Medical Sciences, Kadapa","327,933",424,"354,036",410,14,,,,,,,,,,,,,,,,,,,,
