"College Name","Phase-1 AIR","Phase-1 Marks","Phase-2 AIR","Phase-2 Marks",,,,,,,,,,,,,,,,,,,,,
"NRI Medical College, Chinnakakani",129740,445,148817,434,,,,,,,,,,,,,,,,,,,,,
"Narayana Medical College, Nellore",185098,413,192455,409,,,,,,,,,,,,,,,,,,,,,
"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",189768,411,192938,409,,,,,,,,,,,,,,,,,,,,,
"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",200612,405,206844,402,,,,,,,,,,,,,,,,,,,,,
"Apollo Institute of Medical Sciences and Research, Chittoor",217254,396,218286,396,,,,,,,,,,,,,,,,,,,,,
"GSL Medical College, Rajamahendravaram",215475,397,223417,393,,,,,,,,,,,,,,,,,,,,,
"P.E.S Institute of Medical Sciences and Research, Kuppam",231797,388,231652,387,,,,,,,,,,,,,,,,,,,,,
"Katuri Medical College and Hospital, Guntur",235676,387,247238,382,,,,,,,,,,,,,,,,,,,,,
"Konaseema Institute of Medical Sciences and Research Foundation, Amalapuram",263281,374,269300,371,,,,,,,,,,,,,,,,,,,,,
"Santhiram Medical College, Nandyal",259143,376,270959,370,,,,,,,,,,,,,,,,,,,,,
"Great Eastern Medical School and Hospital, Srikakulam",252658,379,278065,367,,,,,,,,,,,,,,,,,,,,,
"NRI Institute of Medical Sciences, Visakhapatnam",254187,378,281492,365,,,,,,,,,,,,,,,,,,,,,
"Maharaja Institute of Medical Sciences, Vizianagaram",273017,369,300369,357,,,,,,,,,,,,,,,,,,,,,
"Gayatri Vidya Parishad Inst. of Health Care and Medical Technology, Visakhapatnam",273017,369,303869,355,,,,,,,,,,,,,,,,,,,,,
"Viswabharathi Medical College, Kurnool",284970,364,312566,351,,,,,,,,,,,,,,,,,,,,,
"Sri Balaji Medical College Hospital and Research Institute, Renigunta, Tirupati",281492,365,312727,351,,,,,,,,,,,,,,,,,,,,,
"Anna Gowri Medical College and Hospital, Parameshwaramangalam",-,-,316808,350,,,,,,,,,,,,,,,,,,,,,
"Non-minority Total",284970,364,316808,350,,,,,,,,,,,,,,,,,,,,,
