"College Name","College Name","rank 2024 R2","score 2024 R2","rank 2024 R3","score 2024 R3","rank 2024 Stray","score 2024 Stray","rank 2025 R2","score 2025 R2","score 2025 R3","rank 2025 R3",R1,"New R2","Clear R2","Virtual R2","Total R2",state,"rank 2024 R1","score 2024 R1","rank 2025 R1","score 2025 R1",State,Estd,Seats,Years,"Yearly Fee 2024 (₹)","Yearly Fee 2025 (₹)","Increased Fees (₹)"
"GITAM Institute of Med. Sce. and Res., Visakhapatnam","GITAM Institute, Visakhapatnam",585242,310,356477,409,32355,643,482169,287,246,615974,127,-,32,48,80,"Andhra Pradesh",874833,622,"437,866",302,"Andhra Pradesh",2015,150,4.5,"2,537,000","2,537,000",0
"Hamdard HIMSR, NewDelhi","Hamdard HIMSR, NewDelhi",54747,620,44566,630,23802,654,xx,xx,xx,xx,XX,XX,XX,XX,XX,Delhi,53650,621,XX,XX,Delhi,2012,150,4.5,"1,600,000","1,600,000",0
"Hamdard HIMSR(IM QUOTA)","Hamdard HIMSR(IM QUOTA)",87651,591,77226,600,68155,608,xx,xx,xx,xx,XX,XX,XX,XX,XX,Delhi,124809,560,XX,XX,Delhi,2012,150,4.5,"1,600,000","1,600,000",0
"SBKS Med. Inst. and Res. Centre, Sumandeep Vidyapeeth, Vadodara","SBKS , Sumandeep Vidyapeeth, Vadodara",256409,466,259128,465,,,398037,317,270,535000,107,-,35,33,68,Gujarat,267497,459,"340,315",340,Gujarat,2002,250,4.5,"1,875,000","2,275,000","400,000"
"SBKS Vidyapeeth(IM JAIN QUOTA ) Vadodara","SBKS Vidyapeeth(IM JAIN QUOTA ) Vadodara",313793,432,190166,510,,,785540,203,145,1087718,,-,20,33,53,Gujarat,596197,306,"681,238",229,Gujarat,2002,250,4.5,"1,875,000","2,275,000","400,000"
"Amrita School of Medicine Faridabad","Amrita School of Medicine Faridabad",296345,442,103745,577,333529,421,318826,349,325,376143,135,-,26,28,54,Haryana,286837,448,"283,536",365,Haryana,2023,150,5,"2,500,000","2,500,000",0
"MM Inst. Med. and Research, Mullana","MM Inst. Med. and Research, Mullana",379681,397,305183,437,273882,455,370783,327,289,476344,170,-,94,40,134,Haryana,343403,416,276229,368,Haryana,2003,200,4.5,"1,800,000","1,980,000","180,000"
"Manipal TATA, Jamshedpur","Manipal TATA, Jamshedpur",66376,610,636331,612,30915,645,79731,478,503,48703,120,48,80,51,131,Jharkhand,82158,596,62699,491,Jharkhand,2020,150,4,"1,609,000","1,609,000",0
"Amrita Institute of Medical Science, Kochi","Amrita Institute of Medical Science, Kochi",329153,424,309686,434,185389,514,290052,362,366,280088,127,-,40,28,68,Kerala,269974,458,233349,388,Kerala,2000,150,5,"2,500,000","2,500,000",0
"Institute of Medical Sciences and SUM Hospital, Bhubaneswar","IMS and SUM Hospital, Bhubaneswar",197138,505,141388,547,,,285309,364,316,398720,212,-,38,86,124,Odisha,252090,469,233205,388,Odisha,2007,250,4.5,"1,995,000","2,300,000","305,000"
"Institute of Medical Sciences SUM Campus-II, Bhubaneswar","IMS SUM Campus-II, Bhubaneswar",140918,547,61481,614,,,277116,368,317,396950,127,50,83,43,126,Odisha,174329,522,185262,413,Odisha,2024,200,4.5,"1,495,000","1,800,000","305,000"
"Kalinga Institute of Medical Sciences, Bhubaneswar","Kalinga Medical College, Bhubaneswar",175608,521,129930,556,,,174334,419,404,202084,213,-,44,79,123,Odisha,213081,495,147972,434,Odisha,2007,250,4.5,"1,850,000","1,850,000",0
"Malla Reddy Institute of Medical Sciences, Hyderabad","Malla Reddy Institute, Hyderabad",413909,381,251382,470,154977,536,394117,318,295,457986,170,-,55,81,136,Telangana,--,--,"332,211",343,Telangana,2012,200,4.5,"1,900,000","1,900,000",0
"Malla Reddy Medical College for Women, Hyderabad","Malla Reddy for Women, Hyderabad",468690,356,291057,445,174451,522,424521,307,261,562310,170,-,46,93,139,Telangana,--,--,"352,435",335,Telangana,2013,200,4.5,"1,800,000","1,800,000",0
"Santosh Medical College and Hospital, Ghaziabad","Santosh Medical College, Ghaziabad",599861,305,518475,335,469160,356,523387,273,254,588923,127,-,71,14,85,"Uttar Pradesh","672,540",280,"499,941",281,UP,1996,150,4.5,"2,400,000","2,450,000","50,000"
"Graphic Era Institute Of Medical Science, Dehradun","Graphic Era Medical College, Dehradun",456962,361,397941,388,363419,405,478912,288,255,582337,127,-,49,45,94,Uttarakhand,"551,948",322,"442,416",300,UK,2024,150,4.5,"2,200,000","2,450,000","250,000"
